subject,content
Transco Parking for April 8th - 10th.,We parked gas (deal 240072) on the 8th and the 9th and we are pulling it out (deal 240073) on the 10th. ENA will pay Transco $.055 times the daily balance.
New morning sheet stuff,This is more CNG fuel waiver stuff. Thanks
Out Friday Morning,I will be out of the office tomorrow moring. I expect to be in around lunch time. Thanks
CES Jan Billing,Please unsuspend and bill the following Jan CES deals Deal Pipe volume Amount Comment 145311 ANR 5071 11992.92 we billed the Trunkline piece of this deal. 145317 ANR 37975 89810.88 145319 ANR 16275 38490.38 Still researching the following deals Deal Pipe volume Amount Comment 149430 ANR 34248 76030.56 sent email to Tom Donoho to research. I will be in after lunch. I may try to send you more deals.
Re: West Region Job Posting,I think I might call. Would you take me our for a free lunch?
Transco Invoices for Jan,"It looks like I'm missing demand charges on the following CES Transco contracts for January k# 3.3053 3.3039 3.3109 3.3085 3.3115 2.4899 2.7160 2.8607"
CNG Appalachian production,The CES/CEM CNG Appalachian production is still flowing into the CES/CEM gathering and transmission contracts. Unless someone objects I would like to get this moved over to Enron's pool. We don't need to have the gathering and transmission contracts moved over. Comments/questions?
Re: April 6 pricing,I think the National Fuel is local production. I'm don't know how you would swing this volume.
CES Invoices,I apologize for this. May I get a copy of all the invoices we sent CES for January please.
CES invoices,I've gone through most of the CES stuff for Jan. I'm missing several demand charge contracts and commodity for CES on Trco. I think you need to call me.
Cheese,I guess you won't be taking me out for a cheeseburger this evening will you ?
Tetco Access area capacity,I segmented the rest of our Tetco capacity this morning effective the 4th. Please update your morning sheet with new AN52's. Thanks
Boo,I have an appointment to get fitted for a suit tonite and then I;m going drinkin after that. Is it ok we leave tomorrow?
Gas Daily Pricing for April,I have some suggested Gas Daily pricing on the attached. I will discuss this with Charlie.
Re: deal 218918,thanks
RE: Hallmark cards you'll NEVER see!,Your back!!! I almost called Spencer to chat.
Iroq parking deal,Hi gang. I'm fairly certain I entered this parking deal wrong for Feb. We will have to look at it next week. Deal 162283 and 162282. We parked gas at S. Commack on Iroq and I think the counterparty should be CPR Exchange as opposed to Iroquois. we will chat.
deal 218918,"Mr. Monroy entered deal 218918 in Sitara on 3/15/2000 with a Tagg # NC3056. I don't know who this is. Could you let me know which trader did this deal please."
Yo,I would like to see the tickets for deals 100093 and 100096. Thanks
Tenn Z6,"Created deal # 231048 to net out against Z6 sales on 527 a day. Molly"
Inside Ferc,Robin said you are going to be doing some of the Inside Ferc numbers. I'm out Friday so I'm sending this to you now.
Re:,Hey!! It worked! Ankle is ok. I will start using your stock tips soon.
Re:,Who knows???
CNG deal,Hi Team! I just extend CNG deal 116090 through 1/31/2001.
Re: Chain Letter-Read This. You Won't be Dissappointed.,What do I get if I break the chain?
CES Wholesale Deals,Joanie's email to me about the Roanoke pricing has me curious. Do I need to check the pricing on all the wholesale CES deals? I do have some reports which Paul Drexelius gave me in January out of CES's GMS system. Dick had asked me to sit with Paul one afternoon and talk about the deals. I have not done any price verification or auditing of the deals in Sitara. Let me know if you want me to audit Sitara.
Tapes,I need to pull my tapes for Jan 21st. Would you take care of that please?
"cglf k#66394","pulled up deal 158501 and added a demand charge for k#66394"
Re: Success!,Kewel!!!
Re: FW: You know,funny. Oh my poor foot. Noone cares about me.
Penn Fuel CGAS capacity,I just changed the demand charge on the Penn Fuel capacity from 6.53 to 6.423 (deal 205687). I changed the price on the Penn Fuel released demand from 6.449 to 6.423 (deal 205672). We were billed 6.423 in January. That's an odd rate when everthing else was 6.50.
New Storage Contract,I just set up a new storage contract for Egan Hub Partners. Deal 205633.
Re: Dayton Exchange,Good. I'll be expecting you.
Hey,Ohh my poor ankle!! Do you care?
Re: Gatherco,Nope. I think Gloria is though. I know Victor is but he is out the rest of this week.
Con Ed buy back,Robin purchased 8500 dts from Con Ed intra day on the 15th. These are the changes I made in Transit on contract 3.2067 Activity Prev Volume New Volume 767169 25000 15000 Adjusted sale to Con Ed at meter 6571 down by 10000 789154 0 1500 Adjusted sale to Con Ed at meter 1183 up by 1500 789274 0 8500 ??? Robin or Kate will go to jail for this one.
Re: CNG Training,AND you are a good cook and you smell good too!
New Power People,Could I get the following people added as contacts for The New Power Company Tim Ray Jeffery Porter David Scott Mike Garred You are wonderfull.
Re: CNG Training,And modest too.
Gain ID,Kim is taking care of that invoice. Thanks
Hey,How did it go?
Re: Continuation of Assignment of Capacity,Go get 'em Tiger.
HEy,call me when you get out of your morning meeting
John singer deals,Match singer deal 210359 with CES deal 215036 Match singer deal 210364 with CES deal 215042
CES detail for Jan,This is what I have. Good luck.
PSNC,Did you get the PSNC invoice? Can I throw mine away now?
Union Camp,Who wuz receiving the bills on contracts 2.6598 and 2.6592 in December? Wuz it CES or Union Camp? Thank U
Demand Charges,"Here are a couple of demand charges I don't understand. AGL released CES some ESR (offer #18307) and WSR (offer #18210). The demand portion of these contracts being billed on k#1.3473. What's up."
Algo buy/sale,Robin did a buy/sale on algo for tomorrow only. Match deal 211356 with 211359. thanks
CES purchases for Jan,Call me if you have questions.
Re:,nuthing but retail stuff. Why would anyone do retail stuff?
deal 157147,check it out
Re: Contract numbers,Did you get you Boston Gas setup taken care of?
AGL Sonat capacity,We need to add Sonat to our CES retail demand charge sheet. Let's chat.
Yo,I'm coming over for pizza tonight. You probably don't eat pizza do you? Have a good weekend.
ces deals,please match deal 204787 with 204788
CES productin,we have some behind the citygate productin from that is paid in mcf's not mmbtu's. I am not entering these in the system because i don't know how it will work. any suggestions?
CES deals,please match the following deals for jan feb and mar deal 142727 with 204779
Computer,My techy's going to help me buy a computer. I'm thinking of buying a Dell Pent III 600 Mhz with a bunch of other stuff I know nothing about and an HP8?? color printer. I was also going to buy a digital camera and start taking a lot more family photo's and save them to disk. What do you think? I was also going to try and create a home page and keep track of the stuff I plan on doing. 1st up is Hang Gliding the first weekend in March. I have not registered yet. Cool huh? Time for my free meal :o) SEE YA! Comments/ suggestions?
Re:,Always a pleasure :o)
Jan Billing,My worksheet has a lot of support for the pricing we billed for January. Take a look at the worksheet and give me a call. We probably will not be able to cover everything at once. We still have a few items to bill. I will let you know what those items are and when we expect to bill them.
Transport Rates,Jim asked me to forward this to you. We should probably discuss this.
Re: Fw: Why Palestinians throw rocks!,We drinking beer tonight? You called me to late yesterday.
WGL,CES was cut 7314 at WGL on CGAS for the 1st. I sold CES the gas on TRCO for the 1st and the 2nd (deal 159474).
Fixed price deal,I believe you did a fixed priced deal with Craig Taylor. The price is $3.06. Could you get me the meter numbers? This is what I have so far COH Mrkt Area Monthly Vol Meter 7 5 700 7 1 1141 7 1 682 7 5 1993 7 5 2881 8 5 5534 9 5 12309 5 2 1577
Equitable Tenn Z4,We have a 2500 dt/day supply from Equitable in Tenn Z4. This deal is matched with a term sale to FirstEnergy (deal 145648 for Jan and deal 157848 for Feb and Mar). This is a John Singer deal. I have no idea what the price is on the sale to FirstEnergy.
Back to Back deals done today,All purchases are from COH or CPA Dates Supply deal Market Deal 26th & 27th 156378 156379 sale to EES 27th 155240 155244 sale to EES 27th 155238 155237 sale to CES 26th & 27th 156465 156477 sale to AllEnergy 26th & 27th 156486 156489 sale to EES 27th 156494 156495 sale to EES 26th 156440 156505 sale to EES I'm sure I made a few mistakes.
O&R,I hear we are staying at 68 for tomorrow at O&R.
Re: Exhibit 1 First of Month volume Estimates for Feb 2000,Thanks.
CPA purchase,We bought 4385 from CPA (deal 155237) and sold it to CES (deal 155238). We bought 1249 from CPA (deal 155240) and sold it to EES (deal 155244). Do the emails help?? Is this the way you guys want ot see this?
COH,We bought 500 from COH (deal 155197) and sold it to CES (deal 155195) for the 26th. This deal was done without Brian's approval. He seemed mildly annoyed but I think he will forget about it.
Re: NYSEG - 1/26,How many days do you need this CNG Nimo gas?
CES sale,We purchased gas from COH (deal 154530) and sold it to CES (deal 154531).
CES-CPA,We bought gas from CPA (deal 154508) and sold it to CES (deal 154516). The upstream contract number is 38095.
Hey,I was just denied access to deal 145893??? What's up?
Re: FW: Top 10 reasons why Duffy can't use the computer,You must have put a lot of thought in this. P
Re: Home Sweet Home --- Burrrrrrr,I LOVE MY SWEATS!
CES worksheet,I made a couple of changes. This worksheet will be your top priority for Friday.
yo,uo
Re:,I missed you too.
Transco,My good buddy Scott set up contract .9047 in Sitara. Please note: do not schedule gas on this contract. This contract was set up for accounting purposes only.
Re: A&M Demands Recount,Now that's funny!
Dayton Stuff,deals 151877 and 151878
Test,Test
Rodeo,Check out this website http://www.hlsr.com/
Yo,The Equitrans capacity deals exist!!
Re: CNG/Sabine 12/99,No replying this late at night. Then I don't have an excuse for not doing my job.
Re:,Have I seen the Explorer?? Nope. I just get to work for a living. I don't get to enjoy life's pleasures.
Sonat,Would you see if CES sent us a Sonat invoice for Dec or Nov? I would like to see it. Thanks cg
Hey,Judy's name is not on the list either. What's up with that?
Re: January Team Building,I'm there
Transco Southeast Louisiana Gathering System - Parishes,Not as much as I thought. St Helena Liningston Ascension St James (note: the LRC/Transco interconnect is in this parish.) St Charles Terrebonne St John The Baptist Offshore Areas South Timbalier Area South Additin Ewing Bank Ship Shoal Area S Marsh Island Eugene Island Area We have schedule gas on the following contracts in these Parishes/areas. Contract Comment's with respect to the Southeast Louisiana Gathering System .6329 IT/PVR contract; To deliver gas to Cow Island and Terrebonne plants. .4983 IT contract; Received gas at the wellhead and redelivered to the pooling points on Transco .3051 IT contract; Received gas at the wellhead and redelivered to pipeline interconnects and/or markets. .7537 FTR contract; used to receive and deliver gas at LRC and St 65. .2999 IT contract; Received gas at the wellhead and redelivered to pipeline interconnects and/or markets.
New Power for Oct,I just created deals 480324 and 480325 on CGAS for Oct 31st. I missed these. Please path them in Unify. Thanks
Yo,Hows your day
Re: Storage Deals In Need of Meters,Done again.
"Re: Global Facilites - Maintenace Request - Completed - Request ID:
 00458",You are wonderful!!
TCO Capacity,Is the TCO capacity from Eagle Point considered Retail or Wholesale?
TCO Storage,Victor verified that the TCO storage is at 0. He entered a volume of 1DT and the deal number is 143337.
Worksheets I promised you several hours ago,The 2000ces01.xls is the file I created. The other file was created by Jeff Hodge
Re: Best Headlines of 1999!,Thanks for the post card.
Dad's schedule,Tuesday 12/28/99 9:00am Aspiration biopsy with specimen collection hematology. Wed 12/29/99 7:00 am CT scan without oral preparation 10:00am Bone scan dosage 12:00pm Bone scan examination Thur 12/30/99 4:00 pm appointment with Dr. Lee Jin Soo There you go.
Enough,I think that's enough stuff for now.
Hey,Where have you been?? Why havn't you called??
Yo,I know you are going to make me a happy camper and let me know what you have executed for Jan 2000 so far!!
Tetco 7c's,I have updated the Tetco 7c usage tickets to include fuel.
VNG,Please send copies of the VNG demand charge invoices to Denise Dodson. Please let me know if you have any comments or questions.
Ogy,This is what I see so far for Ogy for May. We need to buy the imbalance back that was created on the 3rd but we can chat later.
Hey,You must be busy today.
Diet Coke,Don't worry about getting me a Diet Coke. I just got one.
RE:,This is what you really want
Yo,We may be dining with my brother and Sister in law tomorrow around 6:30 PM. Comments ???? Questions?????
PSEG capacity,I just added the PSE&G demand charges on Transco to our capacity worksheet. The net impact is $0 because I'm also showing this as a reimbursement. How should we put this in Sitara. I'm showing a transport demand charge on the capacity deal ticket. How do we get the money back from PSE&G?
Hey,I called your work number and noooooo body anwsered!!!!!!! We are going to lunch with Dan today.
Storage Transfer,Please transfer the storage balance of 420 dth from contract 530750 to VNG contract 300008. Thanks
OGY cashout,I entered ($4.9951) x 12dt which should give them a credit on the invoice. I also entered a demand of $93835.00. These items should show up seperate on the invoice.
Cow Parade,http://houston.cowparade.net/
Amerada,Are you looking at the imbalance trade behind NIMO with Amerada Hess for April 2000?
PSEG deal 759607,I think the pricing should be Trco Index plus commodity plus fuel. It looks like you just have Index plus commodity on the pricing.
New Transport Usage deals,I set up the following new TU deals for May 1 759849 St 30 to Z6 New York 759876 St 45 to Z6 New York 759877 St 65 to Z6 New York 760097 Ragley to Z6 New York 759992 St 45 to St 65
New Power,Please bookout the following deals; Deal 643754 with deal 759487 for May and June.
Hye,Guess I won't need you tonight. My woman and I are going to a movie.
Re: OGY,You de MAN
TP2 deals,Let me know what curve the following deals are being marked against. Deal Comment 709610 IF buy from Spinn 646513 Z2 wh to St 45 709620 IF sell at St 45 709703 Z2 Wh IF buy 637093 Z2 wh to St 45 709704 If sell at St45 709706 GD buy at St 45 646529 Z2 wh to St 65 709708 GD sell at St 65 710458 Buy at Utos 726967 Utos to St 65 726064 Sell at ST 65 709722 Z3 wh buy at IF 637107 Z3 to St 65 709723 IF sell at St 65
CES,Should we start terminating CES as a shipper on the interstate pipelines?
Re: Apology,Very funny!
Re: New Power,I added a couple of deals that will not show up until the morning. If you could rerun this first thing tomorrow I would appreciate it. Thanks
March,I'm done with March. Take a look and let me know what you think.
Card,Thanks for the card. It was very nice.
My last New Power Deal,Please bookout the following deals that I entered for 3/31/2001. Match purchase deal 718081 with sales deal 718078. I think this is my last New Power deal forever.
Taxes,Spoke to the tax lady today. She mailed an extension for mine and my fathers taxes. I just know you guys care. I mailed all of Dad's tax stuff to her Sunday and she received it yesterday.
Demand Charges,The password is 2001tran04
Re: Name Change,Would you see how much vacation I have taken for the year please. I took my floating holiday and 1/2 day of vaca on my last time sheet.
Demand Charges,I see you ran the March demand charges through TP2 over the weekend. What about April or are you waiting for us to clean it up?
Canadian deals,I approved the following deals 677408 and 677411. Please do your economic voodoo.
HEY,This is copied out of Transco's system and its allll i got. 4091 MAMOU LEIDY II LA EVANGELINE 3 512.840 ENRON SUPPLY FOR NYPA FTNT 6539
Request 2325,Would you check on the status of meter request 02325 and let me know where it stands? We need to deliver gas to this point.
Curve,What curves are assigned to the following Transco meters Meter 6540 & 6923 Thanks
Doyle,This is what I have.
NYPA,Stacey with NYPA will be at the Hyatt (next door) on next Tuesday and it sounds like she has no plans Tuesday evening (hint hint). Let me know if you are interested in doing anything. She will probably be coming over to the Enron building that afternoon.
Re:,Jerry is working on his house and I think its raining in East Texas so I probably won't go to either.
Re:,I'm very tired. WHAT A GAME!!
EOL Capacity Release,I added the pipelines and zone/point combonations that I feel we will be using most on EOL. Let me know if you have any questions.
Demand Charges,I updated the transport demand charges on Tetco and Trco for March. Please get those in the P&L sometime this week. Also note: I think I had Trco at TP1 instead of TP2. thanks
ANd,Beverly just announced her resignation too.
Rates,Didn't know I could do this. I need the summer and winter fuel retention for zone 1 to zone sl.
RE:,I'm thinking about a Nissan Pathfinder. Then I think about just keeping my money and driving what I have.
Hey,How am I suppossed to determine a good back doctor from a bad back doctor??
Feb worksheet,Numbers still look good after inputting the 27th and the 28th.
Sale to NYPA,What mid price does this deal come to TP2 at? Deal 655067
Re: Ogy,I just made a couple of changes. Would you send it to me again please?
Ogy,Would you send me an Oglethorpe invoice for Feb please?
Transit,http://www.transit.twc.com/
Feb Worksheet,This is what I have for Feb. I still need to update the 27th and 28th volumes. Let me know if you have questions.
March Worksheet,I'm still working on Feb. This is March. First 6 days look good.
Pipeline Info,For Columbia Gas Transmission (CGAS in Sitara) and Columbia Gulf Transmission (CGLF in Sitara) ID nav0409 pass bovine
deal 380472,Please change the desk on deal 680472 from IM ME TCO to IM NE GULF3. thanks
CNG,Let's chat about CNG retail storage on Monday
NFUL,I just fixed contract B00693026471 again. This contract ended 10/31/2000.
Deal 601925,I moved deal 601925 (sale to South Jersey at Broad Run) from CGAS to Tenn.
Gas Daily,Have I told you how wonderful you are? I actually the Gas Daily prices for every day. If you could just enter them in Column S I would be so gratefull.
Trco,Could I get a copy of Trco cashout and the detail for Jan please. Judy and I are going to use it to decide what to do tomorrow.
Deal 628466,"I changed the pipeline and the meter on deal 628466 from NFUL #7126 to TRCO #7126."
New Power for October,I fixed the volumes on deals 456638 and 456630 for the 31st. Please take all other volumes on these deals to 0. Thanks
VNG capacity,"Please recall the following contracts effective 2/24/2001 VNG k# Offer # ENA k# 100007 15002 523666 100104 15003 523664 200088 15004 523667 700005 15008 571492 I think this is all."
Meeting on Thurs,The East Desk is having a meeting tomorrow at the same time to discuss the split out of the East Desk into 11 new books. I need to attend the East Desk meeting first. Please take my name off the list for the Thursday meeting. Thanks
Feb 1 allocated stuff.,This is everything scheduled on CGAS except the pool for the 1st. I'm working on that now.
Re: New Power,I made some changes to New Power. Would you please send me a new purchase and sales worksheet for Jan? thanks
Re:,I'm looking for the following demand charges $93835.00 (12.314.60) Do you see those anywhere? They are on deal 554846.
Feb 2001 Activity,Take a look at the daily volumes when you get a chance. I show you taking an extra 500 dts or so everyday.
Trader Mapping,Would you send me a copy of the new desk mapping please? thanks cg
Mimic,I would like to get access to Mimic. Brad McKay has an ID and Sean uses it to do Gas Daily queries.
Wed,I'm way to tired to go drinking tonite.
Egan,I changed the Egan volumes for the 30th and 31st from 2599 to 4793 on the 30th and 4794 on the 31st. This empties out our storage.
NFUL deal,Please change deal 583629 (sale to Mirant on NFUL) to Market East. It won't let me change it. Thanks
Hey,How do you make those ham and tortillia thingys? I want to make some for the super bowl party this Sunday.
RE: Cashout,Thanks. You are wonderfulllll!
Re: 4/00 Columbia Energy Service O/A Schedule,Could we meet to go over this? AND are there any other folks we should invite?
Nabisco,I still have not released the 700 dth of capacity from VNG to Nabisco on CGAS. I just spoke with Henry Riewerts at Nabisco. He does not have a navigator ID and password. This will be the only CGAS activity he has and he has not bought any gas for Nov either. I think he needs someone to handle this for him. Is this the type of thing we can pass on to EES?
Ogy,Where is my new Oglethorpe sheet?
Re: 12/2000 New Power,I've made some changes to the sales. Would you please send me another excel worksheet for December? thanks
New Power bookouts,Please bookout deal 563831 with deal 563837.
New Power,Please let me know what ENA is taking from New Power's pool and what New Power is taking from ENA's pool for the following dates Date Jan 1 Jan 2 Jan 3 Thanks.
Changes to deal 549411,These are the meter numbers I changed on deal 549411 effective 1/8/2001. The total changed on the deal was a decrease of 31205.
CP&L RFP,"The 2 Transco delivery points for the CP&L RFP (#6608 and #6562) are upstream of the Zone 5 pool. So we should be able to segment the longhaul VNG space. Meter Mainline Mile Marker / Lateral Mile Marker 6608 PSCN Gaston 1323.51 / 0 6562 NC Nat Gas 1375.51 / 0 9167 Zone 5 Sta 165 ENA FT Pool 1412.99 / 0 941 Emporia 1412.99 / 102.89"
AEC deal,I moved the volumes on deal 241639 from Transco Leidy to CNG Leidy.
Oglethorpe,This is ready to go. I highlighted areas that you need to fill in. Thanks.
New Power,Thanks for the Oglethorpe. I just sent my info to Mr. Homco for review. Would you please send me the December purchases and sales for New Power? thanks
Oglethorpe for Dec,Would you please be so kind and take a peek at this.
Oglethorpe,Please send me the Oglethorpe activity in excel for Dec 2000. thanks
Dec 2000,I have not updated the last 4 days of the month yet.
Yo,Non NY 11.50 NY 12.50
Volume Discrepancies,We have some volume discrepancies starting on the 23rd. The 3rd column from the right is my calculation of the Overtakes. The second column from the right is your cal of over's and under's. Our storage numbers are close enough for me.
Transport Demand,The 2001tran01.xls sheet has been updated for East and Marketeast. thanks
Re: (no subject),When do you take the bike to the shop? I have your key on my keyring.
Hopewell,I created a buy/sell with Hopewell that we are going to kill after the month is over. Deals 549136 and 549152 will be killed next week. These tickets are just estimating the loss on oil replacement.
Critical Eye,Would you look at this and let me know if it looks ok. I'm going to send this to Willie after I get your approval. My economic folks just gave me the Gas Daily prices.
Iroq deal,Would you give me a copy of the deal ticket for deal 295058 please.
Gas Daily's,You are so wonderfull. Would you please get me the Transco Gas Daily St 85 prices for the following dates 11/1/2000 11/2/2000 11/3/2000 11/28/2000 11/29/2000 11/30/2000
CNG deal 523412,I changed the term on this deal ticket.
Hey,Does GRI go from $.0072 to $.0070 in January? And I love that outfit you are wearing.
Re: New Power,Nope. Just bring a smile.
Buy Sale with New Power,I sold 10000 day (deal 536976) starting on the 20th at $9.15 to New Power. Please bookout this deal with 536977 (purchase at FOM index pricing).
New Power,I would like to spend 20 min with you today. I need to update my Gas Daily buy/sells for December and I would like for you to see it. It takes me about 10 min a day to do.
ENA's CGLF mainline capacity for 11/1/2000,Contract MDQ
RE: Chilly,What are you going to Chicago for?
Chilly,I guess you and Muffy better be snuggling to stay warm.
Hey,Does this work? You don't read your emails do you?Call me before 11:20 am and I'll give you a dollar.
Dec Activity,Take a look at my worksheet and we will go over it. It's mind boggeling.
Popcorn??,Who's gonna pay for my popcorn? Did you like that pumpkin?
CGLF deal,I entered deal 454356 in Sitara. ENA inherited this deal from CES. This is a sale to Nashville Gas Company at CGLF Mainline. I entered all the pricing and volume terms on the comments. P.S. Nashville is in the process of assigning this deal to Sempra.
CGAS Email,Steve Stonestreet said you have an email address for our team. I would like to have that please. I need to know what our demand charges are for some contracts that start in November. thanks
CNG Rate change,CNG has new commodity rates effective 11/1/2000 New Old $.0973 $.0462 Fuel remains unchanged at 2.28%.
Re: FW: Texas Roadside assistance,We both ran out of gas. I just happened to be 20 ft from the gas station when I did it. That was the first time we went by the skydive place.
TRCO,Call me buddy. Ingrid wants to come over and do a dog and pony show about Transco's new ??system?? I think. AND I suggested she meet with EES and ENA at the same time. I'm thinking around the 1st week in November. What do you think?
"CGLF k#50250","I changed the end term date on cglf k#50250 from 10/31/2000 to 7/31/2001."
CGLF contract 42789,"I changed the end date on CGLF k#42789 (deal 156388) to 10/31/2001."
Buddy,Were you going to send me some deal numbers to check out for August ?
August Invoice,Please send me the August invoice for CES. Did we do any manual billings for August? I need those too.
Re: Daily volumes for 10/16 and 10/17,I will be out tomorrow and I may leave early this afternoon. Could you email me the deal numbers for the 3 purchases and 12 sales for the month of August?
RE: Inventory List,We can sell the tractor anytime as far as I'm concerned. We will have to pay some extra taxes but that's ok by me. The lawyer said we may have to buy a replacement if we loose the case but she doesn't think we would loose.
RE: A Blast From the past,I think everyone needs a good wife!
Re: Team building,Nuthin I want to put in writing.
Yo,I have 17 days of vacation. I'm rolling over 5 days which means I have 12 days left. I think I can easily take off a week in November. How about you?
Ashland Chemical,Who handles the billing for Ashland Chemical?
Re: TETCO rates,I created a new deal because this one has so much data on it.
Re: FW: a few cute cartoons.,I'm putting the freezing one on my webpage with a few happy hour photo's as soon as I get off my lazy butt.
Dominion Contracts,"Do we still have any activity or imbalances on the following Columbia Energy Services contracts k# 8G0a61 8g0a62 8g0a63 8g1064 8t0a61 8t0a62 8t1063 8t1064"
RE:,You Bet. I may have you a helmet too.
Re: What's Up?,I've never heard from the dude. I may send him a voicemail.
NYPA,We added a Transco meter to deal 30512 today. Would you make sure none of that goofy financial stuff is impacted please?
VNG demand charges sheet,Lots of work still needs to be done but this is a start.
Tenn VNG contracts,These are the VNG contract numbers on Tenn
"Re: Meter #",Nope.
"Meter #",I need the WSS meter number. I would like to get that from VNG. I'm sure we don't have that set up in our system.
Camera,Did you decide on a digital camera yet?
Boston Gas - Iroq/Tenn,I updated the Iroq and Tenn rates and fuel on the Boston Gas worksheet. I couldn't make changes to the original sheet so I created a new one. 0:_Dropbox/Boston Gas1.xls The updated rates are green.
Yo,I tried my new sweatpants on and I really like them. Thanks. Where is the place you used to get your car serviced?
Agency,Russ verified that agency transport capacity deals can be set up in Sitara before the agency contract is in Global. That makes things quicker for Scott and I.
CGAS Strg,Hi there. We changed our CGAS storage numbers today and we have fixed the Sitara deals and worksheet.
Re: Tricia's shower,I gave to Kim Olinger.
Transco Zone 4 Capacity,"k# Volume Delivery Receipt 3.6870 2186 Mgag Telescoped 3.6869 1622 Mgag Telescoped 3.6868 692 Mgag Telescoped 3.6857 15000 Z4 St 65 3.6673 4492 Atlanta Telescoped 3.6752 116 Atlanta Telescoped 3.6675 270 Atlanta Telescoped 3.6750 1925 Atlanta Telescoped 3.6674 3575 Atlanta St 85 3.6751 1532 Atlanta St 85"
Koch,I just added a Koch demand charge on the sheet but it is 100% reimbursed.
Destin,I need a Destin class. The only think I know about Destin is that its a Transco Z4 Mainline Point.
Deal 229986,You changed the rate on this deal from $.0227 to $.0358 effective 8/5/00. What's up with that girl?
Deal Tickets,What are deal tickets 299159 and 299192?
Equitrans,"I changed the demand charge for Equitrans k#270 on the Aug and Sep worksheet. Would you let me know what the capacity deal tickets are and I will change Sitara as well. thanks"
TRCO capacity for Sep,"Prod Area and Long Haul k# Volume Rec Del 3.6746 5000 St 62 Con Ed 3.4358 15000 St 65 Con Ed 3.5049 10000 St 65 Con Ed 3.4708 20000 Telescoped Bug 3.5115 10000 Telescoped Bug 3.5116 10000 Telescoped Lilco 3.4271 2174 Utos St 65 ???? 3000 St 65 #6563 PPL (Non NY) should have this contract tomorrow. Market Area 3.4522 10000 Leidy PSE&G 3.5318 6500 Leidy PSE&G"
GRI,I must have deleted the GRI memo I had. Sorry about that.
New Power Invoice,I need to hold the New Power invoice until Monday. It should be ready to send out Monday afternoon and everything should be captured in Sitara.
Pricing worksheet for Alleheny,Let me know if you have any questions.
ODD CES deal,Please take a look at deal 372088. Its a new deal that starts Sep 1st and it was entered in sitara on Aug 21st. I changed the counterparty from CES to New Power.
YO,How's this??
Re: Peoples,Are you getting married!!??
Christmas,Meredith wants a compact cd holder for her car for Christmas.
Re: Hi from Bethesda,BOO! Anyone there? Chrisy is back at work now.
Re: Holiday Happy Hour,I'm RSVPing and I don't have a date. What are you doing?
Re: FW: Enron Press Release,Hey woman! When do you go north? I'm looking at taking you out for a free meal the second week of Augy. I off next week and you know where I'll be.
Reimbursements,Let;s you and I chat this afternoon about getting reimburse from Oglethorpe on Transco.
Pops,Just spoke with Pops. I let him know that his favorite son (ME) will be up there this evening. He thinks I'm in Lufkin.
Hey,I'll give you a call in the morning around 8:15 am. Later Buddy.
"Tenn K #23231 (deal 77257)","Dan does not know what this contract is used for. I think it has (or had) something to do with the Boston Gas contract. We currently use k#29667 for that. I would like to terminate deal 77257 effective 6/30/2000. Comments / questions?"
Hey,Anyone there? Helloooooo!
New Power Bookout,ENA purchased 11.000 dth from New Power at IF flat (deal 509454). I created a sale deal 522203 (sale to New Power at IF + .0125). Please Bookout these deals.
Bookout,New Power purchased A06 gas from ENA. Please bookout dealsl 521753 (sale to New Power) with 521780 (purchase from New Power).
Capacity Sheet for July,Here is the transport sheet for July. I believe its fairly current.
NFUL Parking Deal,Beavy and I changed the following deals for July and August. We took all the August activity to 0. This is how these deals should be balanced Deal 318562 with 318686. And 318691 with 318682. I'll look at the economics in the morning.
New Power Deals,I entered 3 deals that I do not want included in the P&L tonight. They are all purchases from New Power Deals 521336 521342 521345
NYPA,Let me know when you want to chat about NYPA. It should only take about 15 min. I would like Beverly present because someday I would like to be agent for NYPA on their contract.
Re: THINK TWICE BEFORE YOU STOP FOR THE CALL OF NATURE!!!!,What about my camera info?????
Re: fwd,Joanie Veselack is leaving. She is going to PG&E in Bethesda
Tetco for July,"k# MDQ 892510 16136 Access to M3 892511 7426 Access to M3 893145 5000 Access to M3 892875 9496 Access to M3 Total 38058 892872 19355 Access to M2 893589 11250 Access to M2 Total 30605"
Rates,The password is 2000tran07
CES Deals for July,I show no sales to CES for the month of July. I created deal 315460 to bookout with deal 217769 and deal 315471 to bookout with deal 223967. Please let me know if you have any questions.
Re:,Hey Buddy! I just had a chat with Kori. She is very sad she didn't get a birthday kiss from you. There will be a little birthday bash on Friday July 7th and she will be there. What do you think?
Re: EES pricing issue,Modest Too!!
Boo,What happened to all my emails? How's my Duff? What's going on?
neat site,Check out this site: > http://www.ozmasplace.cjb.net >
July deals,I'm working on your request buddy. I should have it today or tomorrow morning.
Re: Peoples,So both of these suppliers are now fixed price because they locked in the NYMX?
Hey,My YTD nymx and your YTD nymx don't tie. Here is my worksheet. Would take a look at it and let me know which deals are wrong. You are a wonderful person by the way.
CGAS Storage,Does CES have the ability to adjust the storage MSQ in Sep or Oct?
Hye,Buy or sell at 4.15?????
Re: CGAS deal 213360,Why did you go to power? Are you going to look for some of the mistakes I made back in 1994??
Peoples,Paul Leanza with Clinton may have a market for the Peoples Gas. Dick wanted me to talk to you to see if it sounds ok. Give me a call when you get a chance.
